id_transacao,setor_mercado,bairro_sorocaba,valor_venda,dia_semana,canal_compra
1,Automotivo,Santa Rosália,1142.10,Sábado,E-commerce
2,Construcao,Campolim,2093.52,Sábado,Presencial
3,Varejo_Alimentar,Cerrado,103.98,Sexta-Feira,Presencial
4,Varejo_Alimentar,General Carneiro,99.64,Sábado,E-commerce
5,Vestuario,General Carneiro,302.51,Sexta-Feira,Presencial
6,Varejo_Alimentar,Cerrado,147.71,Domingo,Presencial
7,Vestuario,Centro,246.85,Sexta-Feira,E-commerce
8,Vestuario,Trujillo,267.52,Segunda-Feira,Presencial
9,Automotivo,General Carneiro,851.98,Sexta-Feira,Presencial
10,Vestuario,Vila Helena,342.81,Sábado,Presencial
11,Construcao,Trujillo,2190.46,Sexta-Feira,E-commerce
12,Vestuario,Vila Hortência,70.51,Sábado,Presencial
13,Automotivo,General Carneiro,161.19,Quarta-Feira,E-commerce
14,Construcao,General Carneiro,514.20,Quarta-Feira,Presencial
15,Automotivo,Campolim,802.39,Sábado,Presencial
16,Vestuario,Santa Rosália,226.33,Sexta-Feira,E-commerce
17,Automotivo,Centro,951.94,Terça-Feira,Presencial
18,Varejo_Alimentar,General Carneiro,100.56,Sexta-Feira,Presencial
19,Varejo_Alimentar,Éden,51.68,Sexta-Feira,Presencial
20,Varejo_Alimentar,Éden,94.59,Terça-Feira,Presencial
21,Automotivo,Centro,599.93,Segunda-Feira,Presencial
22,Construcao,Centro,974.71,Sábado,Presencial
23,Vestuario,Campolim,291.19,Sábado,E-commerce
24,Automotivo,Vila Helena,86.71,Sábado,E-commerce
25,Automotivo,Wanel Ville,1060.51,Quinta-Feira,Presencial
26,Construcao,Cerrado,263.97,Sábado,Presencial
27,Varejo_Alimentar,Vila Helena,72.18,Sábado,Presencial
28,Automotivo,Santa Rosália,994.76,Sábado,Presencial
29,Vestuario,Campolim,321.48,Sexta-Feira,Presencial
30,Vestuario,Centro,108.73,Sexta-Feira,E-commerce
31,Automotivo,General Carneiro,619.20,Sexta-Feira,Presencial
32,Automotivo,Vila Hortência,423.10,Sábado,Presencial
33,Automotivo,Cerrado,408.69,Sábado,Presencial
34,Varejo_Alimentar,Centro,102.89,Sexta-Feira,Presencial
35,Vestuario,Vila Helena,171.48,Sábado,Presencial
36,Varejo_Alimentar,Vila Helena,99.80,Sábado,Presencial
37,Automotivo,Vila Hortência,931.98,Sábado,Presencial
38,Automotivo,Trujillo,181.24,Sexta-Feira,E-commerce
39,Vestuario,Vila Helena,226.64,Quarta-Feira,E-commerce
40,Construcao,Santa Rosália,562.91,Sábado,Presencial
41,Construcao,Vila Hortência,1846.08,Sexta-Feira,Presencial
42,Automotivo,Wanel Ville,651.86,Domingo,Presencial
43,Automotivo,Wanel Ville,180.35,Terça-Feira,E-commerce
44,Varejo_Alimentar,Campolim,62.27,Terça-Feira,Presencial
45,Varejo_Alimentar,Wanel Ville,19.90,Sábado,Presencial
46,Construcao,Santa Rosália,1036.77,Quarta-Feira,E-commerce
47,Construcao,General Carneiro,1614.29,Sexta-Feira,Presencial
48,Varejo_Alimentar,Vila Hortência,42.51,Sexta-Feira,E-commerce
49,Varejo_Alimentar,Vila Helena,178.29,Sábado,Presencial
50,Automotivo,Vila Hortência,897.54,Sexta-Feira,E-commerce
51,Vestuario,Centro,107.44,Sábado,E-commerce
52,Varejo_Alimentar,Campolim,49.90,Sábado,Presencial
53,Vestuario,Vila Helena,156.08,Sexta-Feira,Presencial
54,Vestuario,Centro,333.24,Segunda-Feira,Presencial
55,Automotivo,Vila Hortência,885.78,Domingo,E-commerce
56,Construcao,Vila Helena,1336.21,Sexta-Feira,E-commerce
57,Construcao,Wanel Ville,1723.26,Domingo,Presencial
58,Vestuario,Trujillo,64.98,Quinta-Feira,Presencial
59,Vestuario,Santa Rosália,100.46,Sexta-Feira,E-commerce
60,Automotivo,General Carneiro,192.05,Sábado,Presencial
61,Vestuario,Vila Helena,55.56,Sexta-Feira,Presencial
62,Vestuario,Centro,104.70,Sábado,Presencial
63,Automotivo,Vila Helena,1091.19,Sexta-Feira,E-commerce
64,Automotivo,Éden,1025.59,Sexta-Feira,Presencial
65,Vestuario,Éden,190.40,Domingo,Presencial
66,Automotivo,Vila Hortência,476.57,Segunda-Feira,Presencial
67,Vestuario,General Carneiro,47.77,Sexta-Feira,Presencial
68,Construcao,Vila Helena,1989.73,Sábado,Presencial
69,Construcao,Campolim,1121.49,Domingo,Presencial
70,Construcao,Santa Rosália,1078.30,Sábado,E-commerce
71,Varejo_Alimentar,Wanel Ville,73.11,Sábado,Presencial
72,Automotivo,General Carneiro,771.67,Sábado,E-commerce
73,Varejo_Alimentar,Campolim,78.10,Segunda-Feira,Presencial
74,Varejo_Alimentar,Santa Rosália,59.49,Sexta-Feira,Presencial
75,Varejo_Alimentar,Vila Hortência,160.49,Sábado,Presencial
76,Varejo_Alimentar,Wanel Ville,48.78,Sexta-Feira,E-commerce
77,Construcao,Centro,1263.40,Quarta-Feira,Presencial
78,Varejo_Alimentar,Santa Rosália,121.71,Sexta-Feira,E-commerce
79,Varejo_Alimentar,Trujillo,76.59,Sábado,E-commerce
80,Automotivo,General Carneiro,428.78,Sábado,Presencial
81,Varejo_Alimentar,Campolim,159.84,Segunda-Feira,Presencial
82,Vestuario,Santa Rosália,198.47,Sábado,E-commerce
83,Varejo_Alimentar,General Carneiro,64.52,Sexta-Feira,Presencial
84,Varejo_Alimentar,Wanel Ville,44.78,Sábado,Presencial
85,Automotivo,Vila Hortência,746.77,Quarta-Feira,Presencial
86,Automotivo,General Carneiro,1173.64,Terça-Feira,Presencial
87,Construcao,Cerrado,2358.38,Terça-Feira,Presencial
88,Construcao,Centro,644.75,Sexta-Feira,E-commerce
89,Varejo_Alimentar,Wanel Ville,118.53,Sexta-Feira,Presencial
90,Automotivo,General Carneiro,471.45,Sábado,Presencial
